coords,origin_id
9.213271840342507-45.44877256545056,125
9.213271840342507-45.44877256545056,125
9.213271840342507-45.44877256545056,125
9.219674369139703-45.44877256545056,126
9.219674369139703-45.44877256545056,126
9.219674369139703-45.44877256545056,126
9.219674369139703-45.44877256545056,126
9.219674369139703-45.44877256545056,126
9.219674369139703-45.44877256545056,126
9.2260768979369-45.44877256545056,127
9.2260768979369-45.44877256545056,127
9.2260768979369-45.44877256545056,127
9.2260768979369-45.44877256545056,127
9.2260768979369-45.44877256545056,127
9.2260768979369-45.44877256545056,127
9.2260768979369-45.44877256545056,127
9.232479426734097-45.44877256545056,128
9.232479426734097-45.44877256545056,128
9.232479426734097-45.44877256545056,128
9.232479426734097-45.44877256545056,128
9.232479426734097-45.44877256545056,128
9.232479426734097-45.44877256545056,128
9.232479426734097-45.44877256545056,128
9.23888195553129-45.44877256545056,129
9.23888195553129-45.44877256545056,129
9.23888195553129-45.44877256545056,129
9.23888195553129-45.44877256545056,129
9.23888195553129-45.44877256545056,129
9.23888195553129-45.44877256545056,129
9.23888195553129-45.44877256545056,129
9.23888195553129-45.44877256545056,129
9.23888195553129-45.44877256545056,129
9.23888195553129-45.44877256545056,129
9.23888195553129-45.44877256545056,129
9.245284484328485-45.44877256545056,130
9.245284484328485-45.44877256545056,130
9.245284484328485-45.44877256545056,130
9.245284484328485-45.44877256545056,130
9.245284484328485-45.44877256545056,130
9.245284484328485-45.44877256545056,130
9.245284484328485-45.44877256545056,130
9.245284484328485-45.44877256545056,130
9.245284484328485-45.44877256545056,130
9.245284484328485-45.44877256545056,130
9.245284484328485-45.44877256545056,130
9.245284484328485-45.44877256545056,130
9.245284484328485-45.44877256545056,130
9.25168701312568-45.44877256545056,131
9.25168701312568-45.44877256545056,131
9.25168701312568-45.44877256545056,131
9.25168701312568-45.44877256545056,131
9.25168701312568-45.44877256545056,131
9.25168701312568-45.44877256545056,131
9.25168701312568-45.44877256545056,131
9.25168701312568-45.44877256545056,131
9.25168701312568-45.44877256545056,131
9.25168701312568-45.44877256545056,131
9.25168701312568-45.44877256545056,131
9.25168701312568-45.44877256545056,131
9.25168701312568-45.44877256545056,131
9.25168701312568-45.44877256545056,131
9.25168701312568-45.44877256545056,131
9.258089541922876-45.44877256545056,132
9.258089541922876-45.44877256545056,132
9.258089541922876-45.44877256545056,132
9.258089541922876-45.44877256545056,132
9.258089541922876-45.44877256545056,132
9.258089541922876-45.44877256545056,132
9.258089541922876-45.44877256545056,132
9.258089541922876-45.44877256545056,132
9.258089541922876-45.44877256545056,132
9.258089541922876-45.44877256545056,132
9.258089541922876-45.44877256545056,132
9.258089541922876-45.44877256545056,132
9.258089541922876-45.44877256545056,132
9.264492070720072-45.44877256545056,133
9.264492070720072-45.44877256545056,133
9.264492070720072-45.44877256545056,133
9.264492070720072-45.44877256545056,133
9.264492070720072-45.44877256545056,133
9.264492070720072-45.44877256545056,133
9.264492070720072-45.44877256545056,133
9.264492070720072-45.44877256545056,133
9.264492070720072-45.44877256545056,133
9.264492070720072-45.44877256545056,133
9.264492070720072-45.44877256545056,133
9.270894599517268-45.44877256545056,134
9.270894599517268-45.44877256545056,134
9.270894599517268-45.44877256545056,134
9.270894599517268-45.44877256545056,134
9.277297128314462-45.44877256545056,135
9.277297128314462-45.44877256545056,135
9.277297128314462-45.44877256545056,135
9.277297128314462-45.44877256545056,135
9.277297128314462-45.44877256545056,135
9.277297128314462-45.44877256545056,135
9.277297128314462-45.44877256545056,135
9.277297128314462-45.44877256545056,135
9.277297128314462-45.44877256545056,135
9.277297128314462-45.44877256545056,135
9.277297128314462-45.44877256545056,135
9.277297128314462-45.44877256545056,135
9.277297128314462-45.44877256545056,135
9.277297128314462-45.44877256545056,135
9.283699657111658-45.44877256545056,136
9.283699657111658-45.44877256545056,136
9.283699657111658-45.44877256545056,136
9.283699657111658-45.44877256545056,136
9.283699657111658-45.44877256545056,136
9.283699657111658-45.44877256545056,136
9.283699657111658-45.44877256545056,136
9.283699657111658-45.44877256545056,136
9.283699657111658-45.44877256545056,136
9.283699657111658-45.44877256545056,136
9.283699657111658-45.44877256545056,136
9.283699657111658-45.44877256545056,136
9.283699657111658-45.44877256545056,136
9.283699657111658-45.44877256545056,136
9.283699657111658-45.44877256545056,136
9.283699657111658-45.44877256545056,136
9.283699657111658-45.44877256545056,136
9.283699657111658-45.44877256545056,136
9.283699657111658-45.44877256545056,136
9.283699657111658-45.44877256545056,136
9.283699657111658-45.44877256545056,136
9.283699657111658-45.44877256545056,136
9.283699657111658-45.44877256545056,136
9.290102185908854-45.44877256545056,137
9.290102185908854-45.44877256545056,137
9.290102185908854-45.44877256545056,137
9.290102185908854-45.44877256545056,137
9.290102185908854-45.44877256545056,137
9.290102185908854-45.44877256545056,137
9.290102185908854-45.44877256545056,137
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.29650471470605-45.44877256545056,138
9.302907243503244-45.44877256545056,139
9.302907243503244-45.44877256545056,139
9.302907243503244-45.44877256545056,139
9.302907243503244-45.44877256545056,139
9.302907243503244-45.44877256545056,139
9.302907243503244-45.44877256545056,139
9.302907243503244-45.44877256545056,139
9.302907243503244-45.44877256545056,139
9.302907243503244-45.44877256545056,139
9.302907243503244-45.44877256545056,139
9.302907243503244-45.44877256545056,139
9.302907243503244-45.44877256545056,139
9.302907243503244-45.44877256545056,139
9.302907243503244-45.44877256545056,139
9.302907243503244-45.44877256545056,139
9.302907243503244-45.44877256545056,139
9.302907243503244-45.44877256545056,139
9.302907243503244-45.44877256545056,139
9.302907243503244-45.44877256545056,139
9.302907243503244-45.44877256545056,139
9.302907243503244-45.44877256545056,139
9.30930977230044-45.44877256545056,140
9.30930977230044-45.44877256545056,140
9.30930977230044-45.44877256545056,140
9.30930977230044-45.44877256545056,140
9.30930977230044-45.44877256545056,140
9.30930977230044-45.44877256545056,140
9.30930977230044-45.44877256545056,140
9.30930977230044-45.44877256545056,140
9.30930977230044-45.44877256545056,140
9.30930977230044-45.44877256545056,140
